bea_line_id,bea_industry_name,ces_industry_code,plot_level,aggregation,notes
6,Mining,10210000,sector,direct,
7,Oil and gas extraction,10211000,subsector,direct,
8,"Mining, except oil and gas",10212000,subsector,direct,
9,Support activities for mining,10213000,subsector,direct,
10,Utilities,44220000,sector,direct,
11,Construction,20000000,sector,direct,
13,Durable goods,31000000,subsector,direct,
14,Wood products,31321000,subsector,direct,
15,Nonmetallic mineral products,31327000,subsector,direct,
16,Primary metals,31331000,subsector,direct,
17,Fabricated metal products,31332000,subsector,direct,
18,Machinery,31333100,subsector,direct,
19,Computer and electronic products,31334000,subsector,direct,
20,"Electrical equipment, appliances, and components",31335000,subsector,direct,
21,"Motor vehicles, bodies and trailers, and parts",31336001,subsector,multi,
21,"Motor vehicles, bodies and trailers, and parts",31336100,subsector,multi,
21,"Motor vehicles, bodies and trailers, and parts",31336200,subsector,multi,
21,"Motor vehicles, bodies and trailers, and parts",31336300,subsector,multi,
22,Other transportation equipment,31336400,subsector,multi,
22,Other transportation equipment,31336600,subsector,multi,
22,Other transportation equipment,31336900,subsector,multi,
23,Furniture and related products,31337000,subsector,direct,
24,Miscellaneous manufacturing,31339000,subsector,direct,
25,Nondurable goods,32000000,subsector,direct,
26,Food and beverage and tobacco products,32311000,subsector,multi,
26,Food and beverage and tobacco products,32329000,subsector,multi,
27,Textile mills and textile product mills,32313000,subsector,multi,
27,Textile mills and textile product mills,32314000,subsector,multi,
28,Apparel and leather and allied products,32315000,subsector,direct,
29,Paper products,32322000,subsector,direct,
30,Printing and related support activities,32323000,subsector,direct,
31,Petroleum and coal products,32324000,subsector,direct,
32,Chemical products,32325000,subsector,direct,
33,Plastics and rubber products,32326000,subsector,direct,
34,Wholesale trade,41420000,sector,direct,
35,Retail trade,42000000,sector,direct,
36,Motor vehicle and parts dealers,42441000,subsector,direct,
37,Food and beverage stores,42445000,subsector,direct,
38,General merchandise stores,42455000,subsector,direct,
39,Other retail,42456000,subsector,multi,
39,Other retail,42457000,subsector,multi,
39,Other retail,42458000,subsector,multi,
39,Other retail,42459000,subsector,multi,
40,Transportation and warehousing,43000000,sector,direct,
41,Air transportation,43481000,subsector,direct,
42,Rail transportation,43482000,subsector,direct,
43,Water transportation,43483000,subsector,direct,
44,Truck transportation,43484000,subsector,direct,
45,Transit and ground passenger transportation,43485000,subsector,direct,
46,Pipeline transportation,43486000,subsector,direct,
47,Other transportation and support activities,43487000,subsector,multi,
47,Other transportation and support activities,43488000,subsector,multi,
48,Warehousing and storage,43493000,subsector,direct,
49,Information,50000000,sector,direct,
50,"Publishing industries, except internet (includes software)",50513000,subsector,direct,
51,Motion picture and sound recording industries,50512000,subsector,direct,
52,Broadcasting and telecommunications,50517000,subsector,direct,
53,"Data processing, internet publishing, and other information services",50518000,subsector,multi,
53,"Data processing, internet publishing, and other information services",50519000,subsector,multi,
55,Finance and insurance,55520000,subsector,direct,
56,"Federal Reserve banks, credit intermediation, and related activities",55521000,subsector,multi,
56,"Federal Reserve banks, credit intermediation, and related activities",55522000,subsector,multi,
57,"Securities, commodity contracts, and investments",55523150,subsector,multi,
57,"Securities, commodity contracts, and investments",55523200,subsector,multi,
58,Insurance carriers and related activities,55524000,subsector,direct,
59,"Funds, trusts, and other financial vehicles",55523900,subsector,direct,
60,Real estate and rental and leasing,55530000,subsector,direct,
61,Real estate,55531000,subsector,direct,
64,Rental and leasing services and lessors of intangible assets,55532000,subsector,multi,
64,Rental and leasing services and lessors of intangible assets,55533000,subsector,multi,
66,"Professional, scientific, and technical services",60540000,subsector,direct,
67,Legal services,60541100,subsector,direct,
68,Computer systems design and related services,60541500,subsector,direct,
69,"Miscellaneous professional, scientific, and technical services",60541200,subsector,multi,
69,"Miscellaneous professional, scientific, and technical services",60541300,subsector,multi,
69,"Miscellaneous professional, scientific, and technical services",60541400,subsector,multi,
69,"Miscellaneous professional, scientific, and technical services",60541600,subsector,multi,
69,"Miscellaneous professional, scientific, and technical services",60541700,subsector,multi,
69,"Miscellaneous professional, scientific, and technical services",60541800,subsector,multi,
69,"Miscellaneous professional, scientific, and technical services",60541900,subsector,multi,
70,Management of companies and enterprises,60550000,subsector,direct,
71,Administrative and waste management services,60560000,subsector,direct,
72,Administrative and support services,60561000,subsector,direct,
73,Waste management and remediation services,60562000,subsector,direct,
75,Educational services,65610000,subsector,direct,
76,Health care and social assistance,65620000,subsector,direct,
77,Ambulatory health care services,65621000,subsector,direct,
78,Hospitals,65622000,subsector,direct,
79,Nursing and residential care facilities,65623000,subsector,direct,
80,Social assistance,65624000,subsector,direct,
82,"Arts, entertainment, and recreation",70710000,subsector,direct,
83,"Performing arts, spectator sports, museums, and related activities",70711000,subsector,multi,
83,"Performing arts, spectator sports, museums, and related activities",70712000,subsector,multi,
84,"Amusements, gambling, and recreation industries",70713000,subsector,direct,
85,Accommodation and food services,70720000,subsector,direct,
86,Accommodation,70721000,subsector,direct,
87,Food services and drinking places,70722000,subsector,direct,
88,"Other services, except government",80000000,exclude,direct,
